N°vel;Categoria;Palavra;Letras;Similar 1;Similar 2;Similar 3
F†cil;Verbos;apoiar;6;suportar;auxiliar;respaldar
F†cil;Verbos;aprender;7;estudar;memorizar;praticar
F†cil;Verbos;apresentar;10;mostrar;expor;demonstrar
MÇdio;Verbos;aprofundar;10;analisar;detalhar;examinar
F†cil;Verbos;aprovar;7;validar;aceitar;confirmar
Dif°cil;Verbos;argumentar;9;defender;justificar;sustentar
Dif°cil;Verbos;articular;9;conectar;relacionar;integrar
F†cil;Verbos;assinar;6;firmar;ratificar;confirmar
MÇdio;Verbos;atacar;6;agredir;investir;avanáar
F†cil;Verbos;atingir;7;alcanáar;chegar;conseguir
MÇdio;Verbos;aumentar;8;ampliar;crescer;elevar
F†cil;Verbos;avaliar;7;analisar;verificar;examinar
F†cil;Verbos;beber;5;ingerir;tomar;sorver
F†cil;Verbos;beijar;6;abraáar;tocar;acariciar
F†cil;Verbos;brincar;7;jogar;divertir;interagir
F†cil;Verbos;buscar;6;procurar;investigar;explorar
F†cil;Verbos;calcular;8;somar;contar;medir
F†cil;Verbos;caminhar;8;andar;passear;percorrer
F†cil;Verbos;cantar;6;entonar;solfejar;entonar
F†cil;Verbos;celebrar;8;comemorar;festar;parabenizar
F†cil;Verbos;checar;6;verificar;confirmar;validar
F†cil;Verbos;chegar;6;atingir;acessar;alcanáar
F†cil;Verbos;chorar;6;lamentar;soluáar;prantear
F†cil;Verbos;clicar;6;pressionar;tocar;acionar
F†cil;Verbos;coletar;7;reunir;agrupar;arrecadar
F†cil;Verbos;comemorar;9;celebrar;festejar;parabenizar
F†cil;Verbos;comer;5;mastigar;ingerir;provar
MÇdio;Verbos;comparar;8;avaliar;contrastar;medir
Muito dif°cil;Verbos;complexificar;13;aprofundar;ampliar;densificar
F†cil;Verbos;comprar;7;adquirir;obter;conseguir
Dif°cil;Verbos;conceituar;9;definir;explicar;enquadrar
MÇdio;Verbos;conectar;8;ligar;associar;integrar
F†cil;Verbos;conferir;8;verificar;examinar;checar
F†cil;Verbos;confirmar;9;validar;aprovar;checar
MÇdio;Verbos;construir;9;montar;erguer;fabricar
F†cil;Verbos;consultar;8;revisar;verificar;pesquisar
Dif°cil;Verbos;contextualizar;14;situar;relacionar;enquadrar
F†cil;Verbos;continuar;10;prosseguir;manter;perseverar
MÇdio;Verbos;coordenar;9;organizar;alinhar;liderar
MÇdio;Verbos;coordernar;9;organizar;alinhar;liderar
F†cil;Verbos;correr;6;sprintar;fugir;acelerar
F†cil;Verbos;cortar;6;aparar;dividir;recortar
F†cil;Verbos;cozinhar;8;assar;fritar;ferver
F†cil;Verbos;crescer;7;aumentar;expandir;desenvolver
MÇdio;Verbos;criar;5;inventar;produzir;conceber
F†cil;Verbos;danáar;6;bailar;rodopiar;mexer
F†cil;Verbos;dar;3;oferecer;entregar;ceder
MÇdio;Verbos;decidir;7;escolher;optar;resolver
F†cil;Verbos;decorar;7;memorizar;aprender;gravar
F†cil;Verbos;descansar;9;repousar;relaxar;dormir
Dif°cil;Verbos;descender;8;baixar;cair;diminuir
F†cil;Verbos;descer;6;baixar;diminuir;reduzir
Muito dif°cil;Verbos;descontextualizar;17;isolar;retirar;abstrair
F†cil;Verbos;desejar;7;querer;almejar;sonhar
F†cil;Verbos;desenhar;8;pintar;esboáar;rabiscar
Muito dif°cil;Verbos;desenvolver;10;criar;construir;elaborar
Muito dif°cil;Verbos;despersonalizar;16;abstrair;neutralizar;afastar
F†cil;Verbos;desprender;9;soltar;liberar;afastar
MÇdio;Verbos;destruir;8;demolir;arruinar;quebrar
F†cil;Verbos;digerir;7;processar;assimilar;absorver
MÇdio;Verbos;diminuir;8;reduzir;cortar;encolher
F†cil;Verbos;dirigir;7;conduzir;guiar;controlar
F†cil;Verbos;dividir;7;separar;partir;distribuir
F†cil;Verbos;doar;4;oferecer;entregar;ceder
F†cil;Verbos;documentar;10;registrar;anotar;arquivar
F†cil;Verbos;dormir;6;repousar;cochilar;descansar
F†cil;Verbos;editar;6;modificar;alterar;ajustar
Dif°cil;Verbos;elaborar;8;desenvolver;criar;estruturar
F†cil;Verbos;ensinar;7;instruir;orientar;explicar
F†cil;Verbos;enviar;6;mandar;remeter;expedir
Muito dif°cil;Verbos;epistemologizar;16;fundamentar;teorizar;refletir
F†cil;Verbos;escalar;7;subir;ascender;alcanáar
MÇdio;Verbos;escolher;8;optar;selecionar;decidir
F†cil;Verbos;esconder;8;ocultar;camuflar;guardar
F†cil;Verbos;escrever;8;redigir;anotar;registrar
F†cil;Verbos;escutar;8;ouvir;atentar;prestar
F†cil;Verbos;esperar;7;aguardar;permanecer;ficar
MÇdio;Verbos;estruturar;10;organizar;planejar;construir
F†cil;Verbos;estudar;7;aprender;revisar;praticar
F†cil;Verbos;examinar;8;analisar;inspecionar;investigar
MÇdio;Verbos;explicar;8;detalhar;esclarecer;ensinar
F†cil;Verbos;extrair;7;retirar;remover;obter
F†cil;Verbos;fabricar;8;criar;produzir;construir
F†cil;Verbos;falar;5;dizer;contar;explicar
F†cil;Verbos;fechar;6;trancar;encerrar;vedar
F†cil;Verbos;festejar;8;celebrar;comemorar;parabenizar
F†cil;Verbos;ficar;5;permanecer;estar;continuar
F†cil;Verbos;film ar;5;gravar;registrar;documentar
F†cil;Verbos;fotografar;11;registrar;imortalizar;capturar
F†cil;Verbos;frear;5;parar;detener;diminuir
F†cil;Verbos;ganhar;6;obter;receber;conseguir
MÇdio;Verbos;gerenciar;9;administrar;coordenar;supervisionar
F†cil;Verbos;girar;5;rodar;voltar;tornear
F†cil;Verbos;gravar;6;registrar;filmar;registrar
F†cil;Verbos;gritar;6;chamar;alertar;denunciar
F†cil;Verbos;guardar;7;proteger;conservar;manter
F†cil;Verbos;haver;5;existir;ocorrer;acontecer
Muito dif°cil;Verbos;hierarquizar;12;ordenar;priorizar;classificar
MÇdio;Verbos;imaginar;8;criar;supor;fantasiar
Muito dif°cil;Verbos;implementer;11;aplicar;executar;operacionalizar
F†cil;Verbos;iniciar;7;comeáar;abrir;lanáar
F†cil;Verbos;insistir;8;persistir;perseverar;manter
F†cil;Verbos;inspecionar;10;examinar;verificar;observar
Muito dif°cil;Verbos;institucionalizar;18;formalizar;estabelecer;consolidar
Muito dif°cil;Verbos;instrumentalizar;17;equipar;capacitar;adaptar
F†cil;Verbos;interagir;9;participar;comunicar;conectar
Dif°cil;Verbos;interpretar;10;compreender;traduzir;analisar
Dif°cil;Verbos;interrelacionar;15;conectar;associar;integrar
Muito dif°cil;Verbos;interseccionar;14;cruzar;relacionar;integrar
F†cil;Verbos;investigar;10;pesquisar;examinar;procurar
F†cil;Verbos;jogar;5;brincar;competir;disputar
F†cil;Verbos;juntar;6;unir;agrupar;combinar
F†cil;Verbos;lavar;5;limpar;esfregar;enxaguar
Dif°cil;Verbos;legitimar;9;validar;confirmar;autorizar
F†cil;Verbos;ler;3;folhear;consultar;examinar
F†cil;Verbos;levantar;8;erguer;subir;aláar
F†cil;Verbos;liberar;7;soltar;permitir;desprender
MÇdio;Verbos;liderar;7;comandar;orientar;guiar
F†cil;Verbos;lutar;5;batalhar;combater;defender
F†cil;Verbos;marchar;7;andar;deslocar;perambular
MÇdio;Verbos;mediar;6;interceder;negociar;conciliar
F†cil;Verbos;medir;5;avaliar;determinar;checar
MÇdio;Verbos;melhorar;8;aprimorar;evoluir;ajustar
F†cil;Verbos;memorizar;9;decorar;gravar;lembrar
F†cil;Verbos;mergulhar;9;nadar;submergir;imergir
F†cil;Verbos;mexer;5;movimentar;agitar;remexer
F†cil;Verbos;misturar;8;combinar;unir;agitar
MÇdio;Verbos;modificar;9;alterar;mudar;transformar
MÇdio;Verbos;modular;7;ajustar;adaptar;alterar
F†cil;Verbos;montar;6;construir;fabricar;erguer
F†cil;Verbos;mover;5;deslocar;transportar;agitar
F†cil;Verbos;nadar;5;mergulhar;flutuar;borrar
F†cil;Verbos;navegar;8;remar;dirigir;guiar
Muito dif°cil;Verbos;normatizar;10;padronizar;regulamentar;regular
F†cil;Verbos;notar;5;perceber;observar;identificar
MÇdio;Verbos;observar;8;analisar;vigiar;examinar
F†cil;Verbos;oferecer;8;doar;entregar;apresentar
F†cil;Verbos;olhar;5;enxergar;ver;observar
Muito dif°cil;Verbos;operacionalizar;16;executar;aplicar;implementar
F†cil;Verbos;organizar;9;ordenar;planejar;estruturar
MÇdio;Verbos;otimizar;8;melhorar;ajustar;refinar
F†cil;Verbos;ouvir;5;escutar;perceber;notar
F†cil;Verbos;palpar;6;tocar;sentir;apreender
Muito dif°cil;Verbos;parametrizar;12;ajustar;configurar;regular
F†cil;Verbos;parar;5;frenar;detener;interromper
F†cil;Verbos;passar;6;transitar;atravessar;mover
F†cil;Verbos;patrulhar;10;vigiar;monitorar;observar
F†cil;Verbos;pegar;5;segurar;agarrar;tomar
F†cil;Verbos;pensar;6;refletir;meditar;considerar
F†cil;Verbos;perceber;8;notar;observar;sentir
F†cil;Verbos;pesquisar;9;investigar;consultar;explorar
F†cil;Verbos;pintar;6;desenhar;ilustrar;repintar
F†cil;Verbos;planear;7;organizar;programar;planejar
F†cil;Verbos;planejar;8;programar;estruturar;organizar
Muito dif°cil;Verbos;potencializar;13;ampliar;fortalecer;impulsionar
MÇdio;Verbos;priorizar;9;escolher;hierarquizar;focar
Dif°cil;Verbos;problematizar;13;questionar;analisar;discutir
F†cil;Verbos;procurar;8;buscar;rastrear;investigar
F†cil;Verbos;produzir;8;criar;fabricar;gerar
MÇdio;Verbos;projetar;8;desenhar;idealizar;construir
F†cil;Verbos;promover;8;divulgar;impulsionar;estimular
MÇdio;Verbos;proteger;8;defender;guardar;preservar
F†cil;Verbos;provocar;9;desafiar;estimular;incitar
F†cil;Verbos;publicar;8;divulgar;lanáar;anunciar
F†cil;Verbos;pular;5;saltar;quicar;erguer
F†cil;Verbos;quebrar;7;partir;danificar;romper
Dif°cil;Verbos;questionar;9;indagar;perguntar;desafiar
Muito dif°cil;Verbos;racionalizar;12;sistematizar;organizar;calcular
F†cil;Verbos;receber;7;aceitar;ganhar;obter
F†cil;Verbos;redigir;7;escrever;registrar;produzir
Muito dif°cil;Verbos;reestruturar;12;organizar;alterar;modificar
F†cil;Verbos;registrar;9;gravar;documentar;anotar
Dif°cil;Verbos;regulamentar;12;normatizar;controlar;padronizar
Muito dif°cil;Verbos;reinventar;10;modificar;transformar;adaptar
F†cil;Verbos;remover;6;extrair;retirar;afastar
F†cil;Verbos;reparar;7;consertar;restaurar;ajustar
MÇdio;Verbos;resolver;8;solucionar;decidir;concluir
F†cil;Verbos;respaldar;9;apoiar;suportar;auxiliar
F†cil;Verbos;respirar;8;inspirar;expirar;oxigenar
F†cil;Verbos;responder;9;replicar;contestar;reativar
Muito dif°cil;Verbos;ressignificar;13;reinterpretar;redefinir;transformar
F†cil;Verbos;retirar;7;afastar;remover;extrair
Muito dif°cil;Verbos;retroalimentar;14;reforáar;revisar;ajustar
F†cil;Verbos;reunir;6;juntar;agrupar;coletar
F†cil;Verbos;revisar;7;estudar;verificar;consultar
F†cil;Verbos;rir;3;sorrir;gargalhar;divertir
F†cil;Verbos;rodar;5;girar;voltar;tornear
F†cil;Verbos;romper;6;quebrar;destruir;partir
F†cil;Verbos;saltar;6;pular;quicar;erguer
MÇdio;Verbos;seguir;5;acompanhar;obedecer;continuar
F†cil;Verbos;sentar;6;pousar;acomodar;repousar
F†cil;Verbos;sentir;6;perceber;experimentar;notar
Dif°cil;Verbos;sintetizar;10;resumir;condensar;unificar
Dif°cil;Verbos;sistematizar;12;organizar;estruturar;ordenar
F†cil;Verbos;soltar;6;liberar;desprender;afastar
F†cil;Verbos;sorrir;6;rir;gargalhar;satisfeitar
F†cil;Verbos;subir;5;ascender;elevar;erguer
F†cil;Verbos;suportar;8;aguentar;manter;ajudar
F†cil;Verbos;surgir;6;aparecer;manifestar;despontar
F†cil;Verbos;sussurrar;9;cochichar;murmurar;falar
F†cil;Verbos;telefonar;9;ligar;comunicar;chamar
F†cil;Verbos;tocar;5;apertar;pressionar;acariciar
F†cil;Verbos;tomar;5;pegar;adquirir;receber
F†cil;Verbos;trabalhar;9;atuar;laborar;produzir
Muito dif°cil;Verbos;transdisciplinar;16;integrar;conectar;cruzar
MÇdio;Verbos;transformar;11;modificar;alterar;adaptar
F†cil;Verbos;transportar;12;mover;levar;deslocar
Muito dif°cil;Verbos;transversalizar;15;integrar;cruzar;conectar
Muito dif°cil;Verbos;universalizar;13;generalizar;expandir;difundir
F†cil;Verbos;validar;7;aprovar;confirmar;checar
F†cil;Verbos;vencer;6;ganhar;superar;conquistar
F†cil;Verbos;ver;3;olhar;enxergar;observar
F†cil;Verbos;verificar;9;checar;examinar;confirmar
F†cil;Verbos;viajar;6;percorrer;deslocar;explorar
F†cil;Verbos;vigiar;6;observar;monitorar;controlar
F†cil;Verbos;voar;4;planar;pousar;aláar
